구,세대수,인구,남자,여자
종로구,74151,161984,78271,83713
중구,63045,136469,66769,69700
용산구,110895,246165,119961,126204
성동구,135643,307193,149891,157302
광진구,165287,365990,176226,189764
동대문구,165279,362793,178202,184591
중랑구,182220,400678,198122,202556
성북구,193801,454532,218561,235971
강북구,144805,316750,154141,162609
도봉구,138595,333495,162774,170721
노원구,217148,535495,258696,276799
은평구,208209,482509,231953,250556
서대문구,142109,325875,154502,171373
마포구,176133,386086,181204,204882
양천구,177436,460532,226109,234423
강서구,263645,595703,288134,307569
구로구,177275,438308,218970,219338
금천구,111542,251370,128643,122727
영등포구,177743,404766,202617,202149
동작구,181761,407802,196943,210859
관악구,270760,516662,258982,257680
서초구,173580,434801,207877,226924
강남구,233624,549898,263163,286735
송파구,279301,680883,329058,351825
강동구,190019,457042,225226,231816